from	to	count	docs
heparina de bajo peso molecular	tocilizumab	1	 32648092A_ES
levofloxacina	tocilizumab	1	 32638347A_ES
aspirina	epinefrina	2	32640066_ES, 32639461_ES
inmunoglobulina	metilprednisolona	5	 32277408_ES, 32653906_ES, 32282871_ES, 32639461_ES, 32636116_ES
acetaminofeno	ritonavir	1	 32617169_ES
heparina de bajo peso molecular	metilprednisolona	2	 32648092A_ES, 32554621_ES
lopinavir	loratadina	1	 32352487_ES
oxígeno	tacrólimus	1	 32198834_ES
enoxaparina	hbpm	2	 32648092A_ES, 32648092B_ES
dobutamina	tocilizumab	1	 32427645_ES
cloruro	meropenem	1	 32611659_ES
lopinavir	×2día	1	32415334_ES
azitromicina	prednisona	2	 32198834_ES, 32359804_ES
azitromicina	cloruro	1	 32611659_ES
covid19	inmunoglobulina	1	 32653906_ES
creatinina	epinefrina	1	 32622823_ES
azitromicina	dexametasona	2	 32612465D_ES, 32636116_ES
SMX	sulfametoxazol	1	32412848_ES
oseltamivir	sarscov2	1	 32318729_ES
enoxaparina	meronepem	1	 32637086A_ES
covid19	paracetamol	1	 32587121_ES
furosemida	metilprednisolona	2	32363336_ES, 32638347A_ES
dexametasona	tocilizumab	1	 32636116_ES
gadolinio	tocilizumab	2	 32556106_ES, 32427645_ES
norepinefrina	sulfato de magnesio	1	32363336_ES
cefepima	piperacilina	1	 32617223_ES
O2	acetaminofeno	1	 32637086B_ES
benralizumab	hidroxicloroquina	1	 32553608­B_ES
hidroxicloroquina	sulfato de magnesio	1	32363336_ES
amoxicilinaácido clavulánico	lopinavir	1	 32623310_ES
meropenem	nitrógeno	1	 32611659_ES
azitromicina	metilprednisolona	12	 32653906_ES, 32402687_ES, 32589314_ES, 32602267_ES, 32648092A_ES, 32612465A_ES, 32402416­_ES, 32427774-B_ES, 32648092B_ES, 32607304_Es, 32648092C_ES, 32636116_ES
moxifloxacino	ácido láctico	1	 32282871_ES
cobicistat	enoxaparina	1	32399449_ES
clavulanato	heparina	2	32399449_ES, 32427774-B_ES
levotiroxina	ácido fólico	1	32631645_ES
bilirrubina	sitagliptina	1	 32611659_ES
hidroxicloroquina	solución salina	1	 32637266A_ES
cefepima	vancomicina	2	 32617223_ES, 32320556_ES
ampicilina	ácido láctico	1	 32425356_ES
azitromicina	oseltamivir	5	 32615807C_ES, 32637327A_ES, 32589314_ES, 32329981_ES, 32638890_ES
amiodarona	cefepima	1	 32617223_ES
interferón beta	lopinavir	1	 32622483_ES
covid19	dímero D	3	 32329981_ES, 32294258_ES, 32589931_ES
hidroxicloroquina	tacrólimus	1	 32198834_ES
amiodarona	dímero D	1	 32329981_ES
oxígeno	tocilizumab	15	 32615155_ES, 32278585_ES, 32402687_ES, 32586778_ES, 32648092A_ES, 32292915_ES, 32587121_ES, 32247642_ES, 32612435_ES, 32637437­_ES, 32648092B_ES, 32427645_ES, 32638347A_ES, 32618794_ES, 32636116_ES
oxígeno	ribavirina	1	 32276139_B_ES
azitromicina	oxígeno	28	 32615807C_ES, 32402687_ES, 32637086A_ES, 32637327A_ES, 32612465D_ES, 32426200_ES, 32427774_ES, 32402687-B_ES, 32648092A_ES, 32414534_ES, 32412848_ES, 32587121_ES, 32198834_ES, 32605766_ES, 32612465B_ES, 32612465A_ES, 32363351_ES, 32637327B_ES, 32417987_ES, 32612435_ES, 32637437­_ES, 32648092B_ES, 32607304_Es, 32267140_ES, 32589931_ES, 32320556_ES, 32611659_ES, 32636116_ES
bilirrubina	oxígeno	2	 32161941_ES, 32611659_ES
azitromicina	urea	1	 32622483_ES
amoxicilina	hidroxicloroquina	2	 32399449_ES, 32427774-B_ES
esteroides	oxígeno	4	 32198834_ES, 32417987_ES, 32276139_B_ES, 32418288_ES
lopinavir	ritonavir	38	 3229222_ES, 32653210_ES, 32277408_ES, 32364123_ES, 32267502_ES, 32615807C_ES, 32073161_ES, 32623310_ES, 32553608­_A_ES, 32637086A_ES, 32399950_ES, 32602267_ES, 32292904_ES, 32246917_ES, 32617169_ES, 32615807A_ES, 32622483_ES, 32615807B_ES, 32587121_ES, 32198834_ES, 32417987_ES, 32276139_B_ES, 32247642_ES, 32085846_ES, 32401344_ES, 32418288_ES, 32402416­_ES, 32276139_C_ES, 32119083_ES, 32267140_ES,32415334_ES, 32352487_ES, 32584431_ES, 32399451_ES, 32428291_ES, 32215898_ES, 32245909_ES, 32636116_ES
covid19	insulina	1	 32653960_ES
oxígeno	ácido láctico	1	 32179908_ES
clavulanato	cobicistat	1	32399449_ES
hidroxicloroquina	noradrenalina	2	 32586778_ES, 32622483_ES
darunavir	inmunoglobulina	1	 32588185_ES
darunavir	meropenem	1	 32607564_ES
covid19	hidroxicloroquina	10	 32592761_ES, 32602267_ES, 32427774_ES, 32606044_ES, 32292915_ES, 32587121_ES, 32588475_ES, 32428291_ES, 32589931_ES, 32320556_ES
acetaminofén	ritonavir	1	 32198834_ES
hidroxicloroquina	prednisona	5	 32276139_ES, 32198834_ES, 32359804_ES, 32418288_ES, 32245909_ES
darunavir	sulfato de hidroxicloroquina	1	 32360384_ES
norepinefrina	vancomicina	1	 32617223_ES
azitromicina	gentamicina	1	 32320556_ES
fentanilo	midazolam	2	 32637327A_ES, 32590725_ES
creatinina	insulina	2	 32635747_ES, 32637266A_ES
covid19	prednisolona	2	 32606044_ES, 32638347B_ES
amiodarona	oseltamivir	1	 32329981_ES
azitromicina	ritonavir	12	 32653210_ES, 32615807C_ES, 32637086A_ES, 32602267_ES, 32622483_ES, 32587121_ES, 32198834_ES, 32417987_ES, 32402416­_ES, 32267140_ES, 32352487_ES, 32636116_ES
alopurinol	amoxicilina	1	 32639064_ES
Cr	quetiapina	1	32637266A_ES
oxígeno	prednisona	3	 32638347C_ES, 32198834_ES, 32418288_ES
aminotransferasa	sulbactam	1	32119083_ES
dímero D	esteroides	3	 32198834_ES, 32276139_B_ES, 32427774-B_ES
prednisolona	sulbactam	1	 32425356_ES
dímero D	heparina de bajo peso molecular	1	 32584431_ES
ceftriaxona	midazolam	2	 32637327A_ES, 32563170_ES
Na	aspirina	1	32640066_ES
amoxicilinaácido clavulánico	oxígeno	1	 32623310_ES
nitrógeno	sodio	1	 32586752_ES
dímero D	milrinona	1	 32639461_ES
hco3	sulfato de magnesio	1	32363336_ES
dímero D	oseltamivir	3	 32637327A_ES, 32329981_ES, 32276139_B_ES
hidroxicloroquina	interferón beta	1	 32622483_ES
hbpm	metilprednisolona	3	 32648092A_ES, 32648092B_ES, 32648092C_ES
aciclovir	ritonavir	1	 32418288_ES
aztreonam	insulina	1	32638347A_ES
azitromicina	levofloxacina	2	 32427774-B_ES, 32553608­B_ES
heparina	lopinavir	2	 32615807A_ES, 32622483_ES
clorhidrato de ambroxol	moxifloxacino	1	32073161_ES
dímero D	loratadina	1	 32352487_ES
glucocorticoides	prednisolona	2	 32606044_ES,32622819B_ES
covid19	norepinefrina	3	 32638890_ES, 32589931_ES, 32250095_ES
interferón beta	urea	1	 32622483_ES
alopurinol	doxiciclina	1	 32639064_ES
ritonavir	tacrólimus	1	 32198834_ES
creatinina	heparina	1	 32622483_ES
ceftriaxona	tacrólimus	1	 32198834_ES
ampicilina	esteroides	1	 32418288_ES
ampicilina	hidroxicloroquina	2	 32418288_ES, 32320556_ES
dímero D	metilprednisolona	4	 32402687_ES, 32639461_ES, 32427774-B_ES, 32648092B_ES
heparina de bajo peso molecular	oxígeno	4	 32623310_ES, 32648092A_ES, 32294340_ES, 32584431_ES
metoprolol	vitaminas	1	 32363336-B_ES
azitromicina	linezolid	1	 32602267_ES
creatinina	interferón	1	 32198834_ES
ambroxol	oseltamivir	1	 32276139_B_ES
insulina	solución salina	1	 32637266A_ES
imipenem	vancomicina	1	 32282871_ES
ceftriaxona	vancomicina	4	 32563170_ES, 32222713_ES, 32607304_Es, 32292867_ES
insulina	oxígeno	2	 32635747_ES, 32637266A_ES
ampicilina	vancomicina	1	 32320556_ES
azitromicina	heparina	5	 32612465D_ES, 32622483_ES, 32612465B_ES, 32363351_ES, 32427774-B_ES
aciclovir	sulfato de hidroxicloroquina	1	 32414534_ES
acetaminofeno	ceftriaxona	2	 32426200_ES, 32607304_Es
lopinavir	tacrólimus	1	 32198834_ES
heparina de bajo peso molecular	linezolid	1	 32623310_ES
albuterol	ácido láctico	1	32605766_ES
gadolinio	hidroxicloroquina	2	 32267502_ES, 32418288_ES
aspirina	vancomicina	1	32640066_ES
acetaminofén	azitromicina	1	 32198834_ES
dímero D	fentanilo	1	 32637327A_ES
ceftriaxona	noradrenalina	1	 32622483_ES
creatinina	piperacilina	2	 32277408_ES,32622819B_ES
dímero D	losartán	1	 32198834_ES
ceftriaxona	losartán	1	 32198834_ES
bicarbonato	enoxaparina	1	 32587121_ES
azitromicina	piperacilina–tazobactam	2	 32648092A_ES, 32222713_ES
inmunoglobulina	milrinona	1	 32639461_ES
potasio	tocilizumab	1	32363336_ES
bicarbonato	creatinina	2	 32639064_ES, 32587121_ES
azitromicina	hidroxicloroquina	35	 32653210_ES, 32593478_ES, 32615807C_ES, 32402687_ES, 32637086A_ES, 32637327A_ES, 32589314_ES, 32602267_ES, 32292054_ES, 32612465D_ES, 32426200_ES, 32427774_ES, 32402687-B_ES, 32622483_ES, 32648092A_ES, 32587121_ES, 32198834_ES, 32612465B_ES, 32612465A_ES, 32363351_ES, 32637327B_ES, 32359804_ES, 32612435_ES, 32399449_ES, 32637437­_ES, 32402416­_ES, 32427774-B_ES, 32222713_ES, 32648092B_ES, 32607304_Es, 32648092C_ES, 32553608­B_ES, 32352487_ES, 32589931_ES, 32320556_ES
esteroides	linezolid	2	 32602267_ES, 32276139_B_ES
dímero D	ácido acetilsalicílico	2	 32648092B_ES, 32584431_ES
albuterol	metformina	1	 32618794_ES
creatinina	sulfametoxazol	1	 32607564_ES
amoxicilina	azitromicina	3	 32412848_ES, 32399449_ES, 32427774-B_ES
covid19	sodio	1	 32638890_ES
meropenem	sitagliptina	1	 32611659_ES
fentanilo	lactato	1	 32637327A_ES
acetaminofén	losartán	1	 32198834_ES
ampicilina	gentamicina	1	 32320556_ES
azitromicina	clavulanato	2	 32412848_ES, 32427774-B_ES
enoxaparina	midazolam	2	 32637327A_ES, 32590725_ES
azitromicina	hbpm	4	 32648092A_ES, 32399449_ES, 32648092B_ES, 32648092C_ES
dímero D	ritonavir	6	 3229222_ES, 32637086A_ES, 32198834_ES, 32276139_B_ES, 32352487_ES, 32584431_ES
ceftriaxona	meticilina	1	 32622483_ES
oseltamivir	ritonavir	3	 32615807C_ES, 32615807B_ES, 32276139_B_ES
ambroxol	oxígeno	2	 32276139_B_ES, 32179908_ES
ceftriaxona	oxígeno	18	 32557532_ES, 32637327A_ES, 32612465D_ES, 32426200_ES, 32638347C_ES, 32587121_ES, 32198834_ES, 32612465B_ES, 32612465A_ES, 32247642_ES, 32648092B_ES, 32607304_Es, 32267140_ES, 32612465C_ES, 32584431_ES, 32589931_ES, 32631838_ES, 32250095_ES
lopinavir	meticilina	1	 32622483_ES
ceftriaxona	hidroxicloroquina	17	 32593478_ES, 32423738_ES, 32557532_ES, 32637327A_ES, 32612465D_ES, 32426200_ES, 32622483_ES, 32587121_ES, 32198834_ES, 32612465B_ES, 32612465A_ES, 32222713_ES, 32648092B_ES, 32607304_Es, 32612465C_ES, 32584431_ES, 32589931_ES
dímero D	tacrólimus	1	 32198834_ES
hidroxicloroquina	norepinefrina	5	 32617223_ES, 32637327A_ES,32363336_ES, 32637437­_ES, 32589931_ES
piperacilina–tazobactam	sarscov2	2	32276139_B_ES, 32427161_ES
amoxicilina	metilprednisolona	1	 32427774-B_ES
aciclovir	esteroides	1	 32418288_ES
ceftriaxona	creatinina	6	 32622483_ES, 32587121_ES, 32198834_ES, 32648092B_ES, 32292867_ES, 32638890_ES
norepinefrina	vitaminas	1	32363336_ES
oxígeno	sulfato de hidroxicloroquina	1	 32414534_ES
prednisolona	ácido láctico	1	 32425356_ES
carbono	oxígeno	3	 32161941_ES, 32607304_Es, 32320556_ES
azitromicina	meronepem	1	 32637086A_ES
glucosa	meropenem	1	 32611659_ES
inmunoglobulina	ritonavir	6	 32277408_ES, 32364123_ES, 32399950_ES, 32246917_ES, 32588185_ES, 32636116_ES
dímero D	levofloxacina	1	 32427774-B_ES
midazolam	oseltamivir	1	 32637327A_ES
albuterol	enoxaparina	1	 32618794_ES
cobicistat	heparina	1	32399449_ES
imipenem	metilprednisolona	1	 32282871_ES
lopinavir	paracetamol	2	 32587121_ES, 32636116_ES
aspirina	ceftriaxona	1	 32426200_ES
esteroides	ritonavir	5	 32602267_ES, 32198834_ES, 32417987_ES, 32276139_B_ES, 32418288_ES
covid19	oxígeno	15	 32640066_ES, 32292904_ES, 32427774_ES, 32414534_ES, 32606105_ES, 32292915_ES, 32587121_ES, 32247642_ES, 32423911_ES, 32588475_ES, 32638347A_ES, 32638347B_ES, 32589931_ES, 32320556_ES, 32250095_ES
epinefrina	inmunoglobulina	2	32640066_ES, 32639461_ES
levofloxacina	oxígeno	4	 32623310_ES, 32615807A_ES, 32638347A_ES, 32631838_ES
levofloxacina	ritonavir	2	 32623310_ES, 32615807A_ES
ceftriaxona	heparina de bajo peso molecular	1	 32584431_ES
metilprednisolona	vancomicina	2	 32282871_ES, 32607304_Es
clavulanato	enoxaparina	1	32399449_ES
glucocorticoides	piperacilina	2	 32622819A_ES,32622819B_ES
glucosa	vancomicina	1	 32563170_ES
ampicilina	gadolinio	2	 32418288_ES,32622819B_ES
enoxaparina	oxígeno	15	 32402687_ES, 32637086A_ES, 32637327A_ES, 32402687-B_ES, 32648092A_ES, 32615807B_ES, 32587121_ES, 32637327B_ES, 32612435_ES, 32637086B_ES, 32648092B_ES, 32427645_ES, 32618794_ES, 32589931_ES, 32415334_ES
decilitro	quetiapina	1	32637266A_ES
creatinina	dobutamina	1	 32427645_ES
gadolinio	glucosa	1	 32589794_ES
carbono	covid19	1	 32320556_ES
aspirina	atorvastatina	1	 32426200_ES
epinefrina	meropenem	1	32640066_ES
betametasona	metildopa	1	32637327B_ES
dexametasona	sulfato de magnesio	1	 32119083_ES
lopinavir	omeprazol	1	 32653210_ES
cefotaxima	lopinavir	1	 32602267_ES
albuterol	tocilizumab	1	 32618794_ES
ampicilina	ceftriaxona	2	 32611761B_ES, 32611761A_ES
acetaminofeno	carbono	1	 32607304_Es
enoxaparina	fentanilo	2	 32637327A_ES, 32590725_ES
hco3	tocilizumab	1	32363336_ES
atorvastatina	decilitro	1	32637266A_ES
ritonavir	sodio	1	 32417987_ES
moxifloxacina	oxígeno	2	 32161941_ES, 32292904_ES
O2	betametasona	1	32637327B_ES
hidroxicloroquina	nitrógeno	2	 32586752_ES, 32612435_ES
oxígeno	sarscov2	3	 32292904_ES, 32363351_ES, 32427161_ES
glucosa	ácido láctico	1	 32179908_ES
colquicina	oxígeno	1	 32584431_ES
aspirina	azitromicina	1	 32426200_ES
dímero D	ribavirina	1	 32276139_B_ES
covid19	potasio	1	 32638890_ES
dímero D	hidroxicloroquina	14	 32402687_ES, 32637086A_ES, 32637327A_ES, 32402687-B_ES, 32586778_ES, 32198834_ES, 32399449_ES, 32637437­_ES, 32637086B_ES, 32427774-B_ES, 32648092B_ES, 32352487_ES, 32584431_ES, 32589931_ES
oxígeno	sitagliptina	1	 32611659_ES
gadolinio	piperacilina	1	32622819B_ES
creatinina	norepinefrina	3	 32622823_ES, 32637437­_ES, 32638890_ES
epinefrina	milrinona	1	 32639461_ES
meropenem	potasio	1	 32611659_ES
aspirina	lactato	1	 32427161_ES
ritonavir	sulfato de magnesio	1	 32119083_ES
azitromicina	vancomicina	3	 32222713_ES, 32607304_Es, 32320556_ES
colquicina	heparina de bajo peso molecular	1	 32584431_ES
noradrenalina	ritonavir	3	 3229222_ES, 32622483_ES, 32607564_ES
bicarbonato	moxifloxacina	1	 32161941_ES
cloruro	nitrógeno	1	 32611659_ES
ceftriaxona	fentanilo	1	 32637327A_ES
dímero D	enoxaparina	8	 32402687_ES, 32637086A_ES, 32637327A_ES, 32402687-B_ES, 32637086B_ES, 32648092B_ES, 32427645_ES, 32589931_ES
interferón beta	meticilina	1	 32622483_ES
gadolinio	metilprednisolona	2	 32651243_ES, 32418288_ES
azitromicina	bilirrubina	1	 32611659_ES
inmunoglobulina	prednisona	1	 32359804_ES
creatinina	doxiciclina	1	 32639064_ES
covid19	lopinavir	5	 32602267_ES, 32292904_ES, 32587121_ES, 32247642_ES, 32428291_ES
linezolid	ribavirina	1	 32276139_B_ES
oxígeno	potasio	4	 32635747_ES, 32639064_ES, 32179908_ES, 32611659_ES
creatinina	lactato	1	 32635747_ES
bicarbonato	carbono	1	 32161941_ES
O2	hidroxicloroquina	2	 32637086A_ES, 32637086B_ES
amoxicilinaácido clavulánico	hidroxicloroquina	1	 32553608­B_ES
covid19	furosemida	2	 32638890_ES, 32638347A_ES
metilprednisolona	metotrexato	1	 32638347C_ES
ceftriaxona	metotrexato	1	 32638347C_ES
creatinina	lopinavir	6	 32277408_ES, 32622483_ES, 32615807B_ES, 32587121_ES, 32198834_ES, 32119083_ES
bicarbonato	clavulanato	1	 32639064_ES
creatinina	meronepem	1	 32607564_ES
lopinavir	sarscov2	1	 32292904_ES
meronepem	oxígeno	1	 32637086A_ES
arbidol	inmunoglobulina	1	 32246917_ES
dobutamina	sarscov2	1	 32363351_ES
piperacilina	tocilizumab	1	 32648092A_ES
ipratropio	levofloxacina	1	32553608­_A_ES
heparina de bajo peso molecular	inmunoglobulina	1	 32294340_ES
dímero D	gadolinio	2	 32329981_ES, 32427645_ES
losartán	oxígeno	1	 32198834_ES
betametasona	lopinavir	1	 32352487_ES
hidroxicloroquina	linezolid	1	 32602267_ES
heparina	hidroxicloroquina	6	 32612465D_ES, 32615807A_ES, 32622483_ES, 32612465B_ES, 32363351_ES, 32427774-B_ES
ceftriaxona	metilprednisolona	4	 32638347C_ES, 32612465A_ES, 32648092B_ES, 32607304_Es
glucosa	inmunoglobulina	2	 32653906_ES, 32586958_ES
Na	vancomicina	1	32640066_ES
espiramicina	ácido clavulánico	1	 32554425_ES
creatinina	sitagliptina	1	 32611659_ES
hbpm	tocilizumab	3	 32648092A_ES, 32648092B_ES, 32648092C_ES
acetaminofeno	dímero D	1	 32637086B_ES
creatinina	ganciclovir	1	 32607564_ES
ampicilinaácido clavulánico	creatinina	1	32622819B_ES
carbono	prednisolona	1	 32161941_ES
esteroides	piperacilina	1	 32276139_B_ES
linezolid	piperacilina–tazobactam	1	 32623310_ES
anticoagulante	ceftriaxona	1	 32637327A_ES
amoxicilina	sodio	1	 32639064_ES
atorvastatina	hidroxicloroquina	1	 32426200_ES
heparina	heparina de bajo peso molecular	1	 32294340_ES
favipiravir	potasio	1	 32611659_ES
amoxicilina	potasio	2	 32639064_ES, 32179908_ES
azitromicina	heparina de bajo peso molecular	1	 32648092A_ES
acetaminofeno	covid19	1	 32588475_ES
ceftriaxona	heparina	3	 32612465D_ES, 32622483_ES, 32612465B_ES
clavulanato	hidroxicloroquina	1	 32427774-B_ES
lopinavir	moxifloxacina	1	 32292904_ES
darunavir	meronepem	1	 32607564_ES
bicarbonato	covid19	2	 32587121_ES, 32653960_ES
interferón	ritonavir	3	 32198834_ES, 32276139_B_ES, 32276139_C_ES
ambroxol	glucosa	1	 32179908_ES
meticilina	ritonavir	1	 32622483_ES
covid19	levofloxacina	1	 32638347A_ES
ambroxol	moxifloxacino	1	32073161_ES
azitromicina	cefepima	1	 32320556_ES
azitromicina	lactato	2	 32637327A_ES, 32612435_ES
dímero D	meronepem	1	 32637086A_ES
aspirina	noradrenalina	1	 32586778_ES
albuterol	oxígeno	2	 32412848_ES, 32618794_ES
darunavir	hbpm	1	 32399449-B_ES
esteroides	lopinavir	5	 32602267_ES, 32198834_ES, 32417987_ES, 32276139_B_ES, 32418288_ES
colquicina	dobutamina	1	32607304_Es
ampicilina	claritromicina	1	 32425356_ES
azitromicina	quetiapina	1	 32605766_ES
covid19	folato	1	32588185_ES
claritromicina	prednisolona	1	 32425356_ES
acetaminofeno	azitromicina	2	 32426200_ES, 32607304_Es
hidroxicloroquina	ácido láctico	1	 32222713_ES
enoxaparina	sodio	1	 32638890_ES
linezolid	oseltamivir	3	 32276139_B_ES, 32032497_ES,32168162_ES
benralizumab	levofloxacina	2	 32553608­B_ES,32553608­_A_ES
corticoesteroides	metotrexato	1	 32638347C_ES
aciclovir	levetiracetam	1	32563170_ES
acetaminofén	tacrólimus	1	 32198834_ES
noradrenalina	urea	1	 32622483_ES
O2	lopinavir	1	 32637086A_ES
heparina	interferón beta	1	 32622483_ES
enoxaparina	piperacilina	1	 32648092A_ES
azitromicina	fentanilo	1	 32637327A_ES
creatinina	ritonavir	7	 32277408_ES, 32622483_ES, 32615807B_ES, 32587121_ES, 32198834_ES, 32119083_ES, 32607564_ES
azitromicina	losartán	1	 32198834_ES
dexametasona	hidroxicloroquina	2	 32612465D_ES, 32615807B_ES
furosemida	hco3	1	32363336_ES
covid19	noradrenalina	1	 32607564_ES
aciclovir	hidroxicloroquina	2	 32292054_ES, 32418288_ES
dímero D	prednisona	1	 32198834_ES
ceftriaxona	piperacilina–tazobactam	1	 32222713_ES
ceftriaxona	rivaroxaban	1	 32638347C_ES
favipiravir	glucosa	1	 32611659_ES
covid19	ixekizumab	1	 32294258_ES
acetaminofeno	metilprednisolona	1	 32607304_Es
azitromicina	vitaminas	1	 32363336-B_ES
enoxaparina	potasio	1	 32638890_ES
amoxicilina	esteroides	1	 32427774-B_ES
levofloxacina	vancomicina	1	 32615807A_ES
azitromicina	interferón	1	 32198834_ES
covid19	darunavir	1	 32607564_ES
cefotaxima	linezolid	1	 32602267_ES
azitromicina	sulfato de hidroxicloroquina	1	 32414534_ES
ganciclovir	noradrenalina	1	 32607564_ES
acetaminofén	hidroxicloroquina	1	 32198834_ES
inmunoglobulina	vancomicina	2	 32282871_ES,32640066_ES
gadolinio	prednisolona	1	32622819B_ES
fentanilo	hioscina	1	32620682_ES
levotiroxina	tocilizumab	1	 32402687_ES
azitromicina	furosemida	1	 32638890_ES
inmunoglobulina	moxifloxacino	1	 32282871_ES
levotiroxina	metilprednisolona	1	 32402687_ES
covid19	gadolinio	2	 32329981_ES, 32414534_ES
gadolinio	ritonavir	2	 32267502_ES, 32418288_ES
cefotaxima	hidroxicloroquina	1	 32602267_ES
Cr	decilitro	1	32637266A_ES
ampicilina	cefepima	1	 32320556_ES
ambroxol	lopinavir	1	 32276139_B_ES
enoxaparina	ácido acetilsalicílico	1	 32648092B_ES
enoxaparina	heparina de bajo peso molecular	1	 32648092A_ES
inmunoglobulina	prednisolona	1	 32294340_ES
metformina	oxígeno	1	 32618794_ES
insulina	lactato	1	 32635747_ES
ampicilina	oxígeno	2	 32418288_ES, 32320556_ES
furosemida	potasio	2	32363336_ES, 32638890_ES
bicarbonato	hidroxicloroquina	1	 32587121_ES
linezolid	noradrenalina	1	 32607564_ES
azitromicina	sitagliptina	1	 32611659_ES
gadolinio	urea	1	 32427645_ES
ritonavir	sulfametoxazol	1	 32607564_ES
hidroxicloroquina	tocilizumab	12	 32402687_ES,32363336_ES, 32586778_ES, 32648092A_ES, 32292915_ES, 32587121_ES, 32612435_ES, 32637437­_ES, 32402416­_ES, 32222713_ES, 32648092B_ES, 32648092C_ES
