span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
infección por covid-19	ENFERMEDAD	12	6.0	15	infección por covid-19			infección por COVID-19	infeccion por covid19	32292904_ES, 32363351_ES, 32653960_ES, 32637266B_ES, 32267461_ES, 32399694­­_ES, 32423911_ES, 32423738_ES, 32363336-B_ES, 32623310_ES, 32554425_ES, 32174057_ES	32292904_ES, 32363351_ES, 32653960_ES, 32637266B_ES, 32267461_ES, 32399694­­_ES, 32423911_ES, 32423738_ES, 32363336-B_ES, 32623310_ES, 32554425_ES, 32174057_ES	32363351_ES, 32653960_ES, 32637266B_ES, 32267461_ES, 32399694­­_ES, 32423738_ES, 32363336-B_ES, 32623310_ES, 32554425_ES, 32174057_ES
sars-cov-2	ENFERMEDAD	12	6.0	13	sars-cov-2	840533007		SARS-CoV-2	sarscov2	32637086A_ES, 32635747_ES, 32401344_ES, 32267140_ES, 32653906_ES, 32415334_ES, 32245909_ES, 32601756_ES, 32615155_ES, 32607564_ES, 32639461_ES, 32622483_ES	32637086A_ES, 32635747_ES, 32401344_ES, 32267140_ES, 32653906_ES, 32415334_ES, 32245909_ES, 32601756_ES, 32615155_ES, 32607564_ES, 32639461_ES, 32622483_ES	32637086A_ES, 32635747_ES, 32401344_ES, 32267140_ES, 32653906_ES, 32415334_ES, 32245909_ES, 32615155_ES, 32607564_ES, 32639461_ES, 32622483_ES
infección	ENFERMEDAD	13	6.5	13	infección	40733004		infección	infeccion	32399451_ES, 32594429_ES, 32639064_ES, 32593478_ES, 32277408_ES, 32265235_ES, 32588185_ES, 32589314_ES, 32606044_ES, 32318729_ES, 32351657_ES, 32294258_ES, 32638347C_ES	32399451_ES, 32639064_ES, 32593478_ES, 32277408_ES, 32594429_ES	32399451_ES, 32594429_ES, 32639064_ES, 32593478_ES, 32277408_ES, 32265235_ES, 32588185_ES, 32589314_ES, 32606044_ES, 32318729_ES, 32351657_ES, 32294258_ES, 32638347C_ES
diabetes mellitus	ENFERMEDAD	13	6.5	13	diabetes mellitus	73211009	C0011849	diabetes mellitus	diabetes mellitus	32399451_ES, 32612465A_ES, 32653960_ES, 32637266A_ES, 32631838_ES, 32623310_ES, 32612465B_ES, 32611659_ES, 32648092B_ES, 32638347B_ES, 32638347A_ES, 32399450_ES, 32589794_ES	32399451_ES, 32612465A_ES, 32653960_ES, 32637266A_ES, 32631838_ES, 32623310_ES, 32612465B_ES, 32611659_ES, 32648092B_ES, 32638347B_ES, 32638347A_ES, 32399450_ES, 32589794_ES	32399451_ES, 32612465A_ES, 32653960_ES, 32637266A_ES, 32631838_ES, 32623310_ES, 32612465B_ES, 32611659_ES, 32648092B_ES, 32638347B_ES, 32638347A_ES, 32399450_ES, 32589794_ES
anosmia	ENFERMEDAD	11	5.5	13	anosmia	44169009	C0003126	anosmia	anosmia	32592761_ES, 32653960_ES, 32294264_ES, 32594151_ES, 32606105_ES, 32631838_ES, 32615155_ES, 32611659_ES, 32318729_ES, 32605712_ES, 32589794_ES	32592761_ES, 32653960_ES, 32294264_ES, 32594151_ES, 32606105_ES, 32631838_ES, 32615155_ES, 32611659_ES, 32318729_ES, 32605712_ES, 32589794_ES	32592761_ES, 32653960_ES, 32294264_ES, 32594151_ES, 32606105_ES, 32631838_ES, 32615155_ES, 32611659_ES, 32318729_ES, 32605712_ES, 32589794_ES
síndrome de dificultad respiratoria aguda	ENFERMEDAD	12	6.0	12	síndrome de dificultad respiratorio agudo	111281007, 13474005		síndrome de dificultad respiratoria aguda	sindrome de dificultad respiratoria aguda	32399451_ES, 32363351_ES, 32085846_ES, 32222713_ES, 32359711_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32426200_ES, 32639461_ES, 32207255_ES, 32593338_ES	32399451_ES, 32363351_ES, 32085846_ES, 32222713_ES, 32359711_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32426200_ES, 32639461_ES, 32207255_ES, 32593338_ES	32399451_ES, 32085846_ES, 32222713_ES, 32359711_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32426200_ES, 32639461_ES, 32207255_ES, 32593338_ES
lesión renal aguda	ENFERMEDAD	10	5.0	12	lesión renal agudo			lesión renal aguda	lesion renal aguda	32617903A_ES, 32637266B_ES, 32359711_ES, 32637266A_ES, 32620682_ES, 32292867_ES, 32612465B_ES, 32426200_ES, 32617903B_ES, 32612465D_ES	32617903A_ES, 32637266B_ES, 32359711_ES, 32637266A_ES, 32620682_ES, 32292867_ES, 32612465B_ES, 32426200_ES, 32617903B_ES, 32612465D_ES	32617903A_ES, 32637266B_ES, 32359711_ES, 32637266A_ES, 32620682_ES, 32292867_ES, 32612465B_ES, 32426200_ES, 32617903B_ES, 32612465D_ES
derrame pericárdico	ENFERMEDAD	10	5.0	12	derrame pericárdico	70370001, 373945007		derrame pericárdico	derrame pericardico	32631645_ES, 32635747_ES, 32277408_ES, 32265235_ES, 32427645_ES, 32267502_ES, 3229222_ES, 32593338_ES, 32584431_ES, 32622823_ES	32631645_ES, 32635747_ES, 32427645_ES, 3229222_ES, 32622823_ES	32631645_ES, 32635747_ES, 32277408_ES, 32265235_ES, 32427645_ES, 32267502_ES, 3229222_ES, 32593338_ES, 32584431_ES, 32622823_ES
neumonía vírica	ENFERMEDAD	9	4.5	11	neumonía vírico	75570004		neumonía vírica	neumonia virica	32292053_ES, 32402687-B_ES, 32277408_ES, 32612435_ES, 32402687_ES, 32590725_ES, 32208010_ES, 32412848_ES, 32161941_ES	32292053_ES, 32402687-B_ES, 32277408_ES, 32612435_ES, 32402687_ES, 32590725_ES, 32208010_ES, 32412848_ES, 32161941_ES	32292053_ES, 32277408_ES, 32612435_ES, 32590725_ES, 32208010_ES, 32412848_ES, 32161941_ES
insuficiencia respiratoria	ENFERMEDAD	11	5.5	11	insuficiencia respiratorio	409623005, 297107002, 51395007	C0035229, C0035229, C0035229	insuficiencia respiratoria	insuficiencia respiratoria	32617903A_ES, 32612465A_ES, 32198834_ES, 32399694­­_ES, 32583150B_ES, 32606105_ES, 32616174_ES, 32638347A_ES, 32250095_ES, 32594429_ES, 32174057_ES	32617903A_ES, 32612465A_ES, 32399694­­_ES, 32583150B_ES, 32606105_ES, 32638347A_ES, 32250095_ES, 32594429_ES	32617903A_ES, 32612465A_ES, 32198834_ES, 32399694­­_ES, 32583150B_ES, 32606105_ES, 32616174_ES, 32638347A_ES, 32250095_ES, 32594429_ES, 32174057_ES
hipotensión	ENFERMEDAD	10	5.0	11	hipotensión	45007003		hipotensión	hipotension	32589931_ES, 32320556_ES, 32617223_ES, 32640066_ES, 32360384_ES, 32427161_ES, 32426200_ES, 32638890_ES, 32275347_ES, 32622483_ES	32589931_ES, 32320556_ES, 32617223_ES, 32640066_ES, 32360384_ES, 32427161_ES, 32426200_ES, 32638890_ES, 32275347_ES, 32622483_ES	32589931_ES, 32320556_ES, 32617223_ES, 32640066_ES, 32360384_ES, 32427161_ES, 32426200_ES, 32638890_ES, 32275347_ES, 32622483_ES
diabetes	ENFERMEDAD	10	5.0	11	diabetes			diabetes	diabetes	32615807B_ES, 32292904_ES, 32653960_ES, 32637437­_ES, 32293714_ES, 32415334_ES, 32292915_ES, 32292867_ES, 32161941_ES, 32589794_ES	32615807B_ES, 32292904_ES, 32653960_ES, 32637437­_ES, 32415334_ES, 32292867_ES, 32589794_ES	32615807B_ES, 32292904_ES, 32653960_ES, 32637437­_ES, 32293714_ES, 32415334_ES, 32292915_ES, 32292867_ES, 32161941_ES, 32589794_ES
taquicardia sinusal	ENFERMEDAD	10	5.0	10	taquicardia sinusal	11092001	C0039239	taquicardia sinusal	taquicardia sinusal	32363351_ES, 32640066_ES, 32637266B_ES, 32399449_ES, 32277408_ES, 32265235_ES, 32360384_ES, 32423911_ES, 32586778_ES, 32584431_ES	32363351_ES, 32640066_ES, 32637266B_ES, 32399449_ES, 32277408_ES, 32265235_ES, 32360384_ES, 32423911_ES, 32586778_ES, 32584431_ES	32363351_ES, 32640066_ES, 32637266B_ES, 32399449_ES, 32277408_ES, 32265235_ES, 32360384_ES, 32423911_ES, 32586778_ES, 32584431_ES
hipertensión arterial	ENFERMEDAD	9	4.5	9	hipertensión arterial	38341003		hipertensión arterial	hipertension arterial	32399451_ES, 32631646_ES, 32557532_ES, 32631645_ES, 32198834_ES, 3229222_ES, 32329981_ES, 32638347C_ES, 32622483_ES	32399451_ES, 32631646_ES, 32557532_ES, 32631645_ES, 32198834_ES, 3229222_ES, 32329981_ES, 32638347C_ES, 32622483_ES	32399451_ES, 32631646_ES, 32557532_ES, 32631645_ES, 32198834_ES, 3229222_ES, 32329981_ES, 32638347C_ES, 32622483_ES
neumonía atípica	ENFERMEDAD	5	2.5	8	neumonía atípico	233606009		neumonía atípica	neumonia atipica	32222713_ES, 32292915_ES, 32363336_ES, 32360439_ES, 32352487_ES	32222713_ES, 32292915_ES, 32363336_ES, 32360439_ES, 32352487_ES	32222713_ES, 32292915_ES, 32363336_ES, 32360439_ES, 32352487_ES
nefropatía crónica	ENFERMEDAD	7	3.5	8	nefropatía crónico	190829000, 2738006		nefropatía crónica	nefropatia cronica	32360439-D_ES, 32292915_ES, 32612465B_ES, 32292867_ES, 32612465C_ES, 32638890_ES, 32612465D_ES	32360439-D_ES, 32292867_ES, 32292915_ES, 32612465C_ES, 32638890_ES	32360439-D_ES, 32292915_ES, 32612465B_ES, 32292867_ES, 32612465C_ES, 32638890_ES, 32612465D_ES
hipotiroidismo	ENFERMEDAD	8	4.0	8	hipotiroidismo	40930008	C0020676	hipotiroidismo	hipotiroidismo	32631645_ES, 32637266B_ES, 32619736_ES, 32363217_ES, 32402687_ES, 32329981_ES, 32638347B_ES, 32161941_ES	32631645_ES, 32637266B_ES, 32619736_ES, 32363217_ES, 32402687_ES, 32329981_ES, 32638347B_ES, 32161941_ES	32631645_ES, 32637266B_ES, 32619736_ES, 32363217_ES, 32402687_ES, 32329981_ES, 32638347B_ES, 32161941_ES
síndrome de dificultad respiratoria aguda por coronavirus 2	ENFERMEDAD	7	3.5	7	síndrome de dificultad respiratorio agudo por coronavirus 2			síndrome de dificultad respiratoria aguda por coronavirus 2	sindrome de dificultad respiratoria aguda por coronavirus 2	32593478_ES, 32590725_ES, 32631838_ES, 32619798_ES, 32605766_ES, 32623310_ES, 32586778_ES	32593478_ES, 32590725_ES, 32631838_ES, 32619798_ES, 32605766_ES, 32623310_ES, 32586778_ES	32593478_ES, 32590725_ES, 32631838_ES, 32619798_ES, 32605766_ES, 32623310_ES, 32586778_ES
sdra	ENFERMEDAD	6	3.0	7	sdra			SDRA	sdra	32399451_ES, 32363351_ES, 32277408_ES, 32222713_ES, 32607304_Es, 32426200_ES	32399451_ES, 32363351_ES, 32277408_ES, 32222713_ES, 32607304_Es, 32426200_ES	32399451_ES, 32363351_ES, 32277408_ES, 32222713_ES, 32607304_Es, 32426200_ES
obesidad	ENFERMEDAD	7	3.5	7	obesidad	414916001, 5476005	C0028754, C0028754, C0451819, C1563743	obesidad	obesidad	32631645_ES, 32267140_ES, 32553608­B_ES, 32292915_ES, 32601756_ES, 32363336_ES, 32650881_ES	32631645_ES, 32267140_ES, 32553608­B_ES, 32292915_ES, 32601756_ES, 32363336_ES, 32650881_ES	32631645_ES, 32267140_ES, 32553608­B_ES, 32292915_ES, 32601756_ES, 32363336_ES, 32650881_ES
embolia pulmonar	ENFERMEDAD	6	3.0	7	embolia pulmonar	59282003	C0034065	embolia pulmonar	embolia pulmonar	32399449_ES, 32415334_ES, 32267502_ES, 32631838_ES, 32351657_ES, 32638347C_ES	32415334_ES, 32638347C_ES	32399449_ES, 32267502_ES, 32631838_ES, 32351657_ES, 32638347C_ES
embarazo	ENFERMEDAD	7	3.5	7	embarazo	289908002	C0032961	embarazo	embarazo	32363217_ES, 32590725_ES, 32637327B_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32161941_ES	32363217_ES, 32590725_ES, 32637327B_ES, 32637327A_ES, 32363336_ES	32363217_ES, 32590725_ES, 32637327B_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32161941_ES
asma	ENFERMEDAD	6	3.0	7	asma	187687003, 195967001, 21341004	C0004096, C0004096, C0004096, C0085129, C1260881, C1319018	asma	asma	32073161_ES, 32292053_ES, 32553608­_A_ES, 32618794_ES, 32553608­B_ES, 32427774-B_ES	32618794_ES, 32427774-B_ES, 32073161_ES, 32553608­_A_ES	32073161_ES, 32292053_ES, 32553608­_A_ES, 32618794_ES, 32553608­B_ES, 32427774-B_ES
varicela zóster	ENFERMEDAD	6	3.0	6	varicela zóster	19551004		varicela zóster	varicela zoster	32653906_ES, 32590204_ES, 32636116_ES, 32554423_ES, 32161941_ES, 32563170_ES	32653906_ES, 32590204_ES, 32636116_ES, 32554423_ES, 32161941_ES, 32563170_ES	32653906_ES, 32590204_ES, 32636116_ES, 32554423_ES, 32161941_ES, 32563170_ES
trombosis venosa profunda	ENFERMEDAD	6	3.0	6	trombosis venoso profundo	128053003	C0149871	trombosis venosa profunda	trombosis venosa profunda	32402687-B_ES, 32615807A_ES, 32402687_ES, 32426200_ES, 32399950_ES, 32631646_ES	32615807A_ES, 32426200_ES, 32631646_ES, 32399950_ES	32402687-B_ES, 32615807A_ES, 32402687_ES, 32426200_ES, 32399950_ES
neumotórax	ENFERMEDAD	5	2.5	6	neumotórax	36118008		neumotórax	neumotorax	32320556_ES, 32222713_ES, 32423911_ES, 32317275_ES, 32207255_ES	32317275_ES, 32207255_ES, 32320556_ES, 32423911_ES	32320556_ES, 32222713_ES, 32423911_ES, 32317275_ES, 32207255_ES
lesiones cutáneas	ENFERMEDAD	5	2.5	6	lesión cutáneo			lesiones cutáneas	lesiones cutaneas	32352487_ES, 32294264_ES, 32589314_ES, 32425356_ES, 32584431_ES	32584431_ES, 32589314_ES, 32352487_ES, 32425356_ES	32352487_ES, 32294264_ES, 32589314_ES, 32425356_ES, 32584431_ES
insuficiencia mitral	ENFERMEDAD	5	2.5	6	insuficiencia mitral	48724000	C0026266	insuficiencia mitral	insuficiencia mitral	32631645_ES, 32554811_ES, 32427645_ES, 32412848_ES, 32639461_ES	32631645_ES, 32554811_ES, 32427645_ES, 32412848_ES, 32639461_ES	32631645_ES, 32554811_ES, 32427645_ES, 32412848_ES, 32639461_ES
hemorragia	ENFERMEDAD	6	3.0	6	hemorragia	131148009, 50960005	C0019080, C0019080	hemorragia	hemorragia	32401344_ES, 32590725_ES, 32583150B_ES, 32426200_ES, 32554425_ES, 32622483_ES	32401344_ES, 32590725_ES, 32583150B_ES, 32554425_ES, 32622483_ES	32401344_ES, 32590725_ES, 32426200_ES, 32554425_ES, 32622483_ES
fibrilación auricular	ENFERMEDAD	5	2.5	6	fibrilación auricular	49436004		fibrilación auricular	fibrilacion auricular	32617223_ES, 32222713_ES, 32329981_ES, 32638347B_ES, 32638347A_ES	32617223_ES, 32222713_ES, 32329981_ES, 32638347B_ES, 32638347A_ES	32617223_ES, 32222713_ES, 32329981_ES, 32638347B_ES, 32638347A_ES
dislipidemia	ENFERMEDAD	6	3.0	6	dislipidemia	370992007	C0242339	dislipidemia	dislipidemia	32617903A_ES, 32363351_ES, 32648092A_ES, 32292867_ES, 32648092B_ES, 32360439_ES	32617903A_ES, 32363351_ES, 32648092A_ES, 32292867_ES, 32648092B_ES, 32360439_ES	32617903A_ES, 32363351_ES, 32648092A_ES, 32292867_ES, 32648092B_ES, 32360439_ES
diabetes mellitus de tipo 2	ENFERMEDAD	6	3.0	6	diabetes mellitus de tipo 2	44054006	C0011860	diabetes mellitus de tipo 2	diabetes mellitus de tipo 2	32363351_ES, 32360439-B_ES, 32292867_ES, 32622819A_ES, 32617903B_ES, 32638890_ES	32363351_ES, 32360439-B_ES, 32292867_ES, 32622819A_ES, 32617903B_ES, 32638890_ES	32363351_ES, 32360439-B_ES, 32292867_ES, 32622819A_ES, 32617903B_ES, 32638890_ES
diabetes de tipo 2	ENFERMEDAD	6	3.0	6	diabetes de tipo 2	405751000	C1320657	diabetes de tipo 2	diabetes de tipo 2	32073161_ES, 32653960_ES, 32619736_ES, 32602610_ES, 32618794_ES, 32329981_ES	32073161_ES, 32653960_ES, 32619736_ES, 32602610_ES, 32618794_ES, 32329981_ES	32073161_ES, 32653960_ES, 32619736_ES, 32602610_ES, 32618794_ES, 32329981_ES
conjuntivitis	ENFERMEDAD	5	2.5	6	conjuntivitis	9826008	C0009763	conjuntivitis	conjuntivitis	32640066_ES, 32265235_ES, 32427161_ES, 32417987_ES, 32639461_ES	32265235_ES, 32640066_ES, 32417987_ES, 32639461_ES	32640066_ES, 32265235_ES, 32427161_ES, 32417987_ES, 32639461_ES
choque séptico	ENFERMEDAD	6	3.0	6	choque séptico	76571007		choque séptico	choque septico	32617223_ES, 32277408_ES, 32359711_ES, 32282871_ES, 32275347_ES, 32622823_ES	32617223_ES, 32277408_ES, 32359711_ES, 32282871_ES, 32275347_ES	32617223_ES, 32277408_ES, 32359711_ES, 32282871_ES, 32275347_ES, 32622823_ES
