span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
péptido natriurético	ENTIDAD-OBSERVABLE	10	5.0	11	péptido natriurético	407059007		péptido natriurético	peptido natriuretico	32635747_ES, 32277408_ES, 32618794_ES, 32363336-B_ES, 32616174_ES, 32363336_ES, 32282027_ES, 32329981_ES, 32650881_ES, 32622819B_ES	32635747_ES, 32277408_ES, 32618794_ES, 32363336-B_ES, 32616174_ES, 32363336_ES, 32282027_ES, 32329981_ES, 32650881_ES, 32622819B_ES	32635747_ES, 32277408_ES, 32618794_ES, 32363336-B_ES, 32616174_ES, 32363336_ES, 32282027_ES, 32329981_ES, 32650881_ES, 32622819B_ES
lactato-deshidrogenasa	ENTIDAD-OBSERVABLE	11	5.5	11	lactato-deshidrogenasa	259319003	C0022917	lactato-deshidrogenasa	lactatodeshidrogenasa	32414534_ES, 32360439-C_ES, 32119083_ES, 32267140_ES, 32553608­_A_ES, 32594151_ES, 32617169_ES, 32611659_ES, 32593338_ES, 32586778_ES, 32612465D_ES	32414534_ES, 32360439-C_ES, 32119083_ES, 32267140_ES, 32553608­_A_ES, 32594151_ES, 32617169_ES, 32611659_ES, 32593338_ES, 32586778_ES, 32612465D_ES	32414534_ES, 32360439-C_ES, 32119083_ES, 32267140_ES, 32553608­_A_ES, 32594151_ES, 32617169_ES, 32611659_ES, 32593338_ES, 32586778_ES, 32612465D_ES
gasometría arterial	ENTIDAD-OBSERVABLE	8	4.0	10	gasometría arterial			gasometría arterial	gasometria arterial	32292053_ES, 32277408_ES, 32363336-B_ES, 32363336_ES, 32276139_B_ES, 32607304_Es, 32637086A_ES, 32283294_ES	32292053_ES, 32277408_ES, 32363336-B_ES, 32363336_ES, 32276139_B_ES, 32607304_Es, 32637086A_ES, 32283294_ES	32292053_ES, 32277408_ES, 32363336-B_ES, 32363336_ES, 32276139_B_ES, 32607304_Es, 32637086A_ES, 32283294_ES
ferritina	ENTIDAD-OBSERVABLE	10	5.0	10	ferritina	32789000	C0015879	ferritina	ferritina	32554811_ES, 32402687-B_ES, 32637437­_ES, 32590204_ES, 32402687_ES, 32633439_ES, 32363336-B_ES, 32612465B_ES, 32615155_ES, 32586778_ES	32554811_ES, 32402687-B_ES, 32637437­_ES, 32590204_ES, 32402687_ES, 32633439_ES, 32363336-B_ES, 32612465B_ES, 32615155_ES, 32586778_ES	32554811_ES, 32402687-B_ES, 32637437­_ES, 32590204_ES, 32402687_ES, 32633439_ES, 32363336-B_ES, 32612465B_ES, 32615155_ES, 32586778_ES
aspartato-aminotransferasa	ENTIDAD-OBSERVABLE	10	5.0	10	aspartato-aminotransferasa	26091008	C0004002	aspartato-aminotransferasa	aspartatoaminotransferasa	32414534_ES, 32637437­_ES, 32586752_ES, 32427161_ES, 32032497_ES, 32363336_ES, 32617169_ES, 32611659_ES, 32292054_ES, 32161941_ES	32414534_ES, 32637437­_ES, 32586752_ES, 32427161_ES, 32032497_ES, 32363336_ES, 32617169_ES, 32611659_ES, 32292054_ES, 32161941_ES	32414534_ES, 32637437­_ES, 32586752_ES, 32427161_ES, 32032497_ES, 32363336_ES, 32617169_ES, 32611659_ES, 32292054_ES, 32161941_ES
troponina	ENTIDAD-OBSERVABLE	4	2.0	9	troponina	102680009	C0041199	troponina	troponina	32363336_ES, 32650881_ES, 32607304_Es, 32635747_ES	32363336_ES, 32650881_ES, 32607304_Es, 32635747_ES	32363336_ES, 32650881_ES, 32607304_Es, 32635747_ES
VSG	ENTIDAD-OBSERVABLE	7	3.5	9	VSG			VSG	VSG	32637086B_ES, 32276139_C_ES, 32590204_ES, 32201125_ES, 32276139_B_ES, 32276139_ES, 32622819B_ES	32637086B_ES, 32276139_C_ES, 32590204_ES, 32201125_ES, 32276139_B_ES, 32276139_ES, 32622819B_ES	32637086B_ES, 32276139_C_ES, 32590204_ES, 32201125_ES, 32276139_B_ES, 32276139_ES, 32622819B_ES
PPC	ENTIDAD-OBSERVABLE	7	3.5	9	PPC			PPC	PPC	32557532_ES, 32292053_ES, 32363217_ES, 32267502_ES, 32619798_ES, 32617903B_ES, 32427774_ES	32557532_ES, 32292053_ES, 32363217_ES, 32267502_ES, 32619798_ES, 32617903B_ES, 32427774_ES	32557532_ES, 32292053_ES, 32363217_ES, 32267502_ES, 32619798_ES, 32617903B_ES, 32427774_ES
tiempo de protrombina	ENTIDAD-OBSERVABLE	8	4.0	8	tiempo de protrombina	396451008, 90735005	C0033707, C0033707	tiempo de protrombina	tiempo de protrombina	32179908_ES, 32635747_ES, 32402687-B_ES, 32401344_ES, 32427161_ES, 32623310_ES, 32266524_ES, 32353183_ES	32179908_ES, 32635747_ES, 32402687-B_ES, 32401344_ES, 32427161_ES, 32623310_ES, 32266524_ES, 32353183_ES	32179908_ES, 32635747_ES, 32402687-B_ES, 32401344_ES, 32427161_ES, 32623310_ES, 32266524_ES, 32353183_ES
creatinina sérica	ENTIDAD-OBSERVABLE	5	2.5	8	creatinina sérico	166717003		creatinina sérica	creatinina serica	32198834_ES, 32586752_ES, 32292867_ES, 32622823_ES, 32622483_ES	32198834_ES, 32586752_ES, 32292867_ES, 32622823_ES, 32622483_ES	32198834_ES, 32586752_ES, 32292867_ES, 32622823_ES, 32622483_ES
anticuerpos antinucleares	ENTIDAD-OBSERVABLE	8	4.0	8	anticuerpo antinuclear	359788000, 79404001	C0587178, C0587178	anticuerpos antinucleares	anticuerpos antinucleares	32635747_ES, 32427161_ES, 32294340_ES, 32617169_ES, 32622819A_ES, 32292867_ES, 32639461_ES, 32622819B_ES	32635747_ES, 32427161_ES, 32617169_ES, 32622819A_ES, 32292867_ES, 32639461_ES, 32622819B_ES	32635747_ES, 32427161_ES, 32294340_ES, 32617169_ES, 32622819A_ES, 32292867_ES, 32639461_ES, 32622819B_ES
alanina-aminotransferasa	ENTIDAD-OBSERVABLE	8	4.0	8	alanina-aminotransferasa	56935002	C0001899	alanina-aminotransferasa	alaninaaminotransferasa	32414534_ES, 32637437­_ES, 32277408_ES, 32423911_ES, 32032497_ES, 32363336_ES, 32292054_ES, 32329981_ES	32414534_ES, 32637437­_ES, 32277408_ES, 32423911_ES, 32032497_ES, 32363336_ES, 32292054_ES, 32329981_ES	32414534_ES, 32637437­_ES, 32277408_ES, 32423911_ES, 32032497_ES, 32363336_ES, 32292054_ES, 32329981_ES
