id	title	group	label
ecografias pulmonares	ecografias pulmonares	PROCEDIMIENTO	ecografias pulmonares
hemorragia	hemorragia	ENFERMEDAD	hemorragia
insomnio (enfermedad)	insomnio	ENFERMEDAD	insomnio
aspirina	aspirina	FARMACO	aspirina
sobreinfecciones	sobreinfecciones	ENFERMEDAD	sobreinfecciones
gen S	gen S	PROTEINAS	gen S
neumonia intersticial	neumonia intersticial	ENFERMEDAD	neumonia intersticial
espiramicina	espiramicina	FARMACO	espiramicina
ARM	ARM	PROCEDIMIENTO	ARM
albendazol	albendazol	FARMACO	albendazol
choque cardiogenico	choque cardiogenico	ENFERMEDAD	choque cardiogenico
cardiotocografia	cardiotocografia	PROCEDIMIENTO	cardiotocografia
ferritina serica	ferritina serica	ENTIDAD-OBSERVABLE	ferritina serica
1 de abril de 2020	1 de abril de 2020	FECHAS	1 de abril de 2020
2015	2015	FECHAS	2015
altas dosis de vasopresores	altas dosis de vasopresores	PROCEDIMIENTO	altas dosis de vasopresores
herpes zoster	herpes zoster	ENFERMEDAD	herpes zoster
linfocitopenia (proteinas)	linfocitopenia	PROTEINAS	linfocitopenia
debilidad	debilidad	SINTOMA	debilidad
staphylococcus aureus	staphylococcus aureus	SPECIES	staphylococcus aureus
formalina	formalina	FARMACO	formalina
saturacion venosa	saturacion venosa	ENTIDAD-OBSERVABLE	saturacion venosa
inflamacion glotica significativa y abundante secrecion de las vias respiratorias	inflamacion glotica significativa y abundante secrecion de las vias respiratorias	SINTOMA	inflamacion glotica significativa y abundante secrecion de las vias respiratorias
alaninoaminotransferasa (proteinas)	alaninoaminotransferasa	PROTEINAS	alaninoaminotransferasa
buen estado general	buen estado general	SINTOMA	buen estado general
aumento de leucocitos y proteinas	aumento de leucocitos y proteinas	SINTOMA	aumento de leucocitos y proteinas
53 anos	53 anos	EDAD-SUJETO-ASISTENCIA	53 anos
covid19 (id-sujeto-asistencia)	covid19	ID-SUJETO-ASISTENCIA	covid19
36 anos	36 anos	EDAD-SUJETO-ASISTENCIA	36 anos
proteinorraquia (proteinas)	proteinorraquia	PROTEINAS	proteinorraquia
amiodarona	amiodarona	FARMACO	amiodarona
enoxaparina	enoxaparina	FARMACO	enoxaparina
moxifloxacina	moxifloxacina	FARMACO	moxifloxacina
12 de abril de 2020	12 de abril de 2020	FECHAS	12 de abril de 2020
hiperplasia prostatica benigna	hiperplasia prostatica benigna	ENFERMEDAD	hiperplasia prostatica benigna
ecografia a pie de cama	ecografia a pie de cama	PROCEDIMIENTO	ecografia a pie de cama
hemoptisis	hemoptisis	ENFERMEDAD	hemoptisis
9 de marzo	9 de marzo	FECHAS	9 de marzo
aumento significativo de proteina creactiva	aumento significativo de proteina creactiva	SINTOMA	aumento significativo de proteina creactiva
diarrea intermitente	diarrea intermitente	ENFERMEDAD	diarrea intermitente
aptc	aptc	PROCEDIMIENTO	aptc
PCR de esputo	PCR de esputo	PROCEDIMIENTO	PCR de esputo
San diego	San diego	TERRITORIO	San diego
congestion nasal	congestion nasal	SINTOMA	congestion nasal
alteraciones del sueno	alteraciones del sueno	SINTOMA	alteraciones del sueno
administraron antiviricos	administraron antiviricos	PROCEDIMIENTO	administraron antiviricos
enero	enero	FECHAS	enero
58 anos	58 anos	EDAD-SUJETO-ASISTENCIA	58 anos
exploracion neurologica de las extremidades inferiores	exploracion neurologica de las extremidades inferiores	PROCEDIMIENTO	exploracion neurologica de las extremidades inferiores
desplazamiento mediastinico	desplazamiento mediastinico	ENFERMEDAD	desplazamiento mediastinico
aspergilosis	aspergilosis	ENFERMEDAD	aspergilosis
hospital provincial de hunan	hospital provincial de hunan	HOSPITAL	hospital provincial de hunan
frotis nasales	frotis nasales	PROCEDIMIENTO	frotis nasales
prohormona nterminal	prohormona nterminal	PROTEINAS	prohormona nterminal
signos respiratorios	signos respiratorios	SINTOMA	signos respiratorios
alteracion de la marcha	alteracion de la marcha	SINTOMA	alteracion de la marcha
neuropatia aguda sensitivomotora axonica	neuropatia aguda sensitivomotora axonica	ENFERMEDAD	neuropatia aguda sensitivomotora axonica
tos persistente	tos persistente	SINTOMA	tos persistente
TAC abdominal y pelvica	TAC abdominal y pelvica	PROCEDIMIENTO	TAC abdominal y pelvica
liberacion	liberacion	PROTEINAS	liberacion
ictus isquemico	ictus isquemico	ENFERMEDAD	ictus isquemico
2017	2017	FECHAS	2017
sdmo	sdmo	FARMACO	sdmo
losartan	losartan	FARMACO	losartan
alargamiento del QT	alargamiento del QT	ENFERMEDAD	alargamiento del QT
epistaxis en las extremidades inferiores (enfermedad)	epistaxis en las extremidades inferiores	ENFERMEDAD	epistaxis en las extremidades inferiores
ventilacion mecanica no invasiva	ventilacion mecanica no invasiva	PROCEDIMIENTO	ventilacion mecanica no invasiva
artralgia	artralgia	SINTOMA	artralgia
exploracion histologica	exploracion histologica	PROCEDIMIENTO	exploracion histologica
bisoprolol	bisoprolol	FARMACO	bisoprolol
21 de abril	21 de abril	FECHAS	21 de abril
hombre (species)	hombre	SPECIES	hombre
37 anos	37 anos	EDAD-SUJETO-ASISTENCIA	37 anos
betametasona dipropionato	betametasona dipropionato	FARMACO	betametasona dipropionato
30 anos	30 anos	EDAD-SUJETO-ASISTENCIA	30 anos
proteina	proteina	PROTEINAS	proteina
hormona antidiuretica	hormona antidiuretica	PROTEINAS	hormona antidiuretica
alaninaaminotransferasa (entidad-observable)	alaninaaminotransferasa	ENTIDAD-OBSERVABLE	alaninaaminotransferasa
erupcion de placas eritematosas pruriginosas extendidas	erupcion de placas eritematosas pruriginosas extendidas	SINTOMA	erupcion de placas eritematosas pruriginosas extendidas
streptococcus pneumoniae	streptococcus pneumoniae	SPECIES	streptococcus pneumoniae
acivlovir	acivlovir	FARMACO	acivlovir
transfusion de plasma	transfusion de plasma	PROCEDIMIENTO	transfusion de plasma
esteroides (procedimiento)	esteroides	PROCEDIMIENTO	esteroides
inestabilidad cardiovascular	inestabilidad cardiovascular	SINTOMA	inestabilidad cardiovascular
singapur	singapur	PAIS	singapur
trastorno esquizoafectivo	trastorno esquizoafectivo	ENFERMEDAD	trastorno esquizoafectivo
consolidacion parenquimatosa	consolidacion parenquimatosa	ENFERMEDAD	consolidacion parenquimatosa
TSH (entidad-observable)	TSH	ENTIDAD-OBSERVABLE	TSH
vasoactivos	vasoactivos	PROCEDIMIENTO	vasoactivos
hiperglucemia (enfermedad)	hiperglucemia	ENFERMEDAD	hiperglucemia
antibioticos	antibioticos	PROCEDIMIENTO	antibioticos
hipotension (enfermedad)	hipotension	ENFERMEDAD	hipotension
arreflexia	arreflexia	SINTOMA	arreflexia
RMI	RMI	PROCEDIMIENTO	RMI
hidratacion iv	hidratacion iv	PROCEDIMIENTO	hidratacion iv
TAC cerebral	TAC cerebral	PROCEDIMIENTO	TAC cerebral
20 de febrero	20 de febrero	FECHAS	20 de febrero
dispepsia (enfermedad)	dispepsia	ENFERMEDAD	dispepsia
marzo	marzo	FECHAS	marzo
aumento de LDH	aumento de LDH	SINTOMA	aumento de LDH
17 de marzo	17 de marzo	FECHAS	17 de marzo
pruebas de autoanticuerpos y de virus cardiotropicos	pruebas de autoanticuerpos y de virus cardiotropicos	PROCEDIMIENTO	pruebas de autoanticuerpos y de virus cardiotropicos
escocia	escocia	PAIS	escocia
psoriasis cronica en placas moderada	psoriasis cronica en placas moderada	ENFERMEDAD	psoriasis cronica en placas moderada
sulfametoxazol	sulfametoxazol	FARMACO	sulfametoxazol
loratadina	loratadina	FARMACO	loratadina
saturacion de oxigeno normal en aire ambiental	saturacion de oxigeno normal en aire ambiental	SINTOMA	saturacion de oxigeno normal en aire ambiental
PUM	PUM	ENTIDAD-OBSERVABLE	PUM
hco3	hco3	FARMACO	hco3
5fluorouracil	5fluorouracil	FARMACO	5fluorouracil
leche materna	leche materna	PROCEDIMIENTO	leche materna
aspirado medular	aspirado medular	PROCEDIMIENTO	aspirado medular
63 anos	63 anos	EDAD-SUJETO-ASISTENCIA	63 anos
lesiones pulmonares	lesiones pulmonares	ENFERMEDAD	lesiones pulmonares
31 de enero	31 de enero	FECHAS	31 de enero
crepitantes en el pulmon	crepitantes en el pulmon	SINTOMA	crepitantes en el pulmon
fibrinogeno (entidad-observable)	fibrinogeno	ENTIDAD-OBSERVABLE	fibrinogeno
rehabilitacion	rehabilitacion	PROCEDIMIENTO	rehabilitacion
reconstruccion 3D frontal mediante ARM de las arterias supraaorticas	reconstruccion 3D frontal mediante ARM de las arterias supraaorticas	PROCEDIMIENTO	reconstruccion 3D frontal mediante ARM de las arterias supraaorticas
leucocitopenia (proteinas)	leucocitopenia	PROTEINAS	leucocitopenia
anticuerpos antitrombociticos	anticuerpos antitrombociticos	PROTEINAS	anticuerpos antitrombociticos
anamnesis	anamnesis	PROCEDIMIENTO	anamnesis
roncus	roncus	SINTOMA	roncus
disminucion de la velocidad de conduccion motora peroneal	disminucion de la velocidad de conduccion motora peroneal	SINTOMA	disminucion de la velocidad de conduccion motora peroneal
nefropatia por IgA	nefropatia por IgA	ENFERMEDAD	nefropatia por IgA
infeccion respiratoria	infeccion respiratoria	ENFERMEDAD	infeccion respiratoria
hiperlipidemia	hiperlipidemia	ENFERMEDAD	hiperlipidemia
hiponatremia	hiponatremia	ENFERMEDAD	hiponatremia
neumonia grave	neumonia grave	ENFERMEDAD	neumonia grave
fibrobroncoscopia	fibrobroncoscopia	PROCEDIMIENTO	fibrobroncoscopia
vomitos	vomitos	SINTOMA	vomitos
confusion	confusion	SINTOMA	confusion
antigenos treponemicos	antigenos treponemicos	PROTEINAS	antigenos treponemicos
29 de marzo	29 de marzo	FECHAS	29 de marzo
interferon alfa2b (proteinas)	interferon alfa2b	PROTEINAS	interferon alfa2b
dolor pleural	dolor pleural	SINTOMA	dolor pleural
neumonia extrahospitalaria	neumonia extrahospitalaria	ENFERMEDAD	neumonia extrahospitalaria
rana	rana	SPECIES	rana
diabetes de tipo 2	diabetes de tipo 2	ENFERMEDAD	diabetes de tipo 2
interferon beta (proteinas)	interferon beta	PROTEINAS	interferon beta
probnp (proteinas)	probnp	PROTEINAS	probnp
covid19 (farmaco)	covid19	FARMACO	covid19
choque septico	choque septico	ENFERMEDAD	choque septico
bilirrubina	bilirrubina	FARMACO	bilirrubina
aine (procedimiento)	aine	PROCEDIMIENTO	aine
42 anos	42 anos	EDAD-SUJETO-ASISTENCIA	42 anos
PCR de otros virus respiratorios	PCR de otros virus respiratorios	PROCEDIMIENTO	PCR de otros virus respiratorios
estado epileptico	estado epileptico	ENFERMEDAD	estado epileptico
56 anos	56 anos	EDAD-SUJETO-ASISTENCIA	56 anos
26 de marzo de 2020	26 de marzo de 2020	FECHAS	26 de marzo de 2020
hematocrito	hematocrito	ENTIDAD-OBSERVABLE	hematocrito
moxifloxacino (farmaco)	moxifloxacino	FARMACO	moxifloxacino
ttpa	ttpa	ENTIDAD-OBSERVABLE	ttpa
anticuerpos antigangliosidos (entidad-observable)	anticuerpos antigangliosidos	ENTIDAD-OBSERVABLE	anticuerpos antigangliosidos
linfoadenopatia mediastinica	linfoadenopatia mediastinica	ENFERMEDAD	linfoadenopatia mediastinica
fasciotomias en ambos brazos y ambas piernas	fasciotomias en ambos brazos y ambas piernas	PROCEDIMIENTO	fasciotomias en ambos brazos y ambas piernas
BNP (entidad-observable)	BNP	ENTIDAD-OBSERVABLE	BNP
estertores bibasales	estertores bibasales	SINTOMA	estertores bibasales
aumento de fibrinogeno dimero D y proteina creactiva	aumento de fibrinogeno dimero D y proteina creactiva	SINTOMA	aumento de fibrinogeno dimero D y proteina creactiva
frotis	frotis	PROCEDIMIENTO	frotis
sodio serico	sodio serico	ENTIDAD-OBSERVABLE	sodio serico
tromboembolia pulmonar	tromboembolia pulmonar	ENFERMEDAD	tromboembolia pulmonar
ronchas	ronchas	SINTOMA	ronchas
lubeck	lubeck	TERRITORIO	lubeck
derrame pericardico	derrame pericardico	ENFERMEDAD	derrame pericardico
12 de febrero de 2020	12 de febrero de 2020	FECHAS	12 de febrero de 2020
trombocitosis	trombocitosis	ENFERMEDAD	trombocitosis
prednisona	prednisona	FARMACO	prednisona
trombocitopenia (sintoma)	trombocitopenia	SINTOMA	trombocitopenia
108h	108h	PROTEINAS	108h
HIV	HIV	SPECIES	HIV
fenobarbital	fenobarbital	FARMACO	fenobarbital
acumulacion de liquido libre en la zona paracolica derecha y pelvica	acumulacion de liquido libre en la zona paracolica derecha y pelvica	SINTOMA	acumulacion de liquido libre en la zona paracolica derecha y pelvica
furosemida	furosemida	FARMACO	furosemida
polonia	polonia	PAIS	polonia
afroamericana	afroamericana	ID-SUJETO-ASISTENCIA	afroamericana
alcohol fenetilico	alcohol fenetilico	FARMACO	alcohol fenetilico
gadolinio	gadolinio	FARMACO	gadolinio
16 anos	16 anos	EDAD-SUJETO-ASISTENCIA	16 anos
lombardia	lombardia	TERRITORIO	lombardia
enfermedades infecciosas	enfermedades infecciosas	ENFERMEDAD	enfermedades infecciosas
cloroquina	cloroquina	FARMACO	cloroquina
anemico	anemico	SINTOMA	anemico
ecografias toracicas	ecografias toracicas	PROCEDIMIENTO	ecografias toracicas
brudzinski	brudzinski	SINTOMA	brudzinski
TAC toracica sin contraste	TAC toracica sin contraste	PROCEDIMIENTO	TAC toracica sin contraste
tabaquismo (enfermedad)	tabaquismo	ENFERMEDAD	tabaquismo
11 de mayo	11 de mayo	FECHAS	11 de mayo
11 de febrero	11 de febrero	FECHAS	11 de febrero
carcinoma renal sarcomatoide de celulas claras metastasico	carcinoma renal sarcomatoide de celulas claras metastasico	ENFERMEDAD	carcinoma renal sarcomatoide de celulas claras metastasico
dilatacion ventricular (enfermedad)	dilatacion ventricular	ENFERMEDAD	dilatacion ventricular
factor VII activado	factor VII activado	PROTEINAS	factor VII activado
artromialgia	artromialgia	SINTOMA	artromialgia
infiltrados pulmonares intersticiales	infiltrados pulmonares intersticiales	SINTOMA	infiltrados pulmonares intersticiales
lactatodeshidrogenasa (entidad-observable)	lactatodeshidrogenasa	ENTIDAD-OBSERVABLE	lactatodeshidrogenasa
pruebas microbiologicas de LCR	pruebas microbiologicas de LCR	PROCEDIMIENTO	pruebas microbiologicas de LCR
administracion de heparina de bajo peso molecular	administracion de heparina de bajo peso molecular	PROCEDIMIENTO	administracion de heparina de bajo peso molecular
clindamicina	clindamicina	FARMACO	clindamicina
soluble	soluble	FARMACO	soluble
caballo	caballo	SPECIES	caballo
RMN	RMN	PROCEDIMIENTO	RMN
biopsia broncoscopica	biopsia broncoscopica	PROCEDIMIENTO	biopsia broncoscopica
del Sur	del Sur	TERRITORIO	del Sur
tacrolimus	tacrolimus	FARMACO	tacrolimus
acufenos	acufenos	SINTOMA	acufenos
hipertermia	hipertermia	SINTOMA	hipertermia
sintomas respiratorios	sintomas respiratorios	SINTOMA	sintomas respiratorios
cianosis	cianosis	SINTOMA	cianosis
frotis nasofaringeo en las fosas nasales	frotis nasofaringeo en las fosas nasales	PROCEDIMIENTO	frotis nasofaringeo en las fosas nasales
insuficiencia respiratoria grave	insuficiencia respiratoria grave	ENFERMEDAD	insuficiencia respiratoria grave
aumento de la concentracion de dimero D en	aumento de la concentracion de dimero D en	SINTOMA	aumento de la concentracion de dimero D en
delirio (sintoma)	delirio	SINTOMA	delirio
ecografia abdominal	ecografia abdominal	PROCEDIMIENTO	ecografia abdominal
trasplante cardiaco	trasplante cardiaco	PROCEDIMIENTO	trasplante cardiaco
midazolam	midazolam	FARMACO	midazolam
anomalias electroliticas	anomalias electroliticas	ENFERMEDAD	anomalias electroliticas
hemorragias (sintoma)	hemorragias	SINTOMA	hemorragias
sobreinfeccion por neumocistos	sobreinfeccion por neumocistos	ENFERMEDAD	sobreinfeccion por neumocistos
bicarbonato	bicarbonato	FARMACO	bicarbonato
5 meses	5 meses	EDAD-SUJETO-ASISTENCIA	5 meses
aumento de la lactatodeshidrogenasa	aumento de la lactatodeshidrogenasa	SINTOMA	aumento de la lactatodeshidrogenasa
PCR del LCR para deteccion de sarscov2 fue negativa	PCR del LCR para deteccion de sarscov2 fue negativa	SINTOMA	PCR del LCR para deteccion de sarscov2 fue negativa
infecciones nosocomiales	infecciones nosocomiales	ENFERMEDAD	infecciones nosocomiales
pulsioximetria	pulsioximetria	PROCEDIMIENTO	pulsioximetria
farmacos inmunosupresores	farmacos inmunosupresores	PROCEDIMIENTO	farmacos inmunosupresores
trombolisis	trombolisis	PROCEDIMIENTO	trombolisis
exploracion pulmonar	exploracion pulmonar	PROCEDIMIENTO	exploracion pulmonar
pruebas serologicas	pruebas serologicas	PROCEDIMIENTO	pruebas serologicas
descompresion urgente de su neumotorax	descompresion urgente de su neumotorax	PROCEDIMIENTO	descompresion urgente de su neumotorax
44 anos	44 anos	EDAD-SUJETO-ASISTENCIA	44 anos
fosfocinasa	fosfocinasa	PROTEINAS	fosfocinasa
Sao paulo	Sao paulo	TERRITORIO	Sao paulo
levofloxacina	levofloxacina	FARMACO	levofloxacina
debilidad en las extremidades inferiores	debilidad en las extremidades inferiores	SINTOMA	debilidad en las extremidades inferiores
peso corporal	peso corporal	ENTIDAD-OBSERVABLE	peso corporal
10 de enero de 2020	10 de enero de 2020	FECHAS	10 de enero de 2020
virus de la gripe	virus de la gripe	SPECIES	virus de la gripe
inmunoglobulina G	inmunoglobulina G	PROTEINAS	inmunoglobulina G
derrame pericardico perimetral moderado	derrame pericardico perimetral moderado	ENFERMEDAD	derrame pericardico perimetral moderado
opacidades pulmonares	opacidades pulmonares	ENFERMEDAD	opacidades pulmonares
sobrepeso	sobrepeso	ENFERMEDAD	sobrepeso
hbpm	hbpm	FARMACO	hbpm
31 de marzo	31 de marzo	FECHAS	31 de marzo
parto (enfermedad)	parto	ENFERMEDAD	parto
absceso de las glandulas salivales y neoplasia	absceso de las glandulas salivales y neoplasia	ENFERMEDAD	absceso de las glandulas salivales y neoplasia
prueba de rtpcr	prueba de rtpcr	PROCEDIMIENTO	prueba de rtpcr
antibiograma	antibiograma	PROCEDIMIENTO	antibiograma
12 de marzo de 2020	12 de marzo de 2020	FECHAS	12 de marzo de 2020
cansancio	cansancio	SINTOMA	cansancio
afasia global	afasia global	SINTOMA	afasia global
legionella pneumophila	legionella pneumophila	SPECIES	legionella pneumophila
diabetes mellitus tipo 2	diabetes mellitus tipo 2	ENFERMEDAD	diabetes mellitus tipo 2
tratamiento combinado de antirretrovirales	tratamiento combinado de antirretrovirales	PROCEDIMIENTO	tratamiento combinado de antirretrovirales
TAC toracica	TAC toracica	PROCEDIMIENTO	TAC toracica
nina	nina	SEXO-SUJETO-ASISTENCIA	nina
administracion de colquicina	administracion de colquicina	PROCEDIMIENTO	administracion de colquicina
aumento de proteina creactiva	aumento de proteina creactiva	SINTOMA	aumento de proteina creactiva
neumonia multifocal	neumonia multifocal	ENFERMEDAD	neumonia multifocal
glucemia	glucemia	ENTIDAD-OBSERVABLE	glucemia
coinfecciones	coinfecciones	ENFERMEDAD	coinfecciones
asma leve	asma leve	ENFERMEDAD	asma leve
anticuerpos antimitocondriales (entidad-observable)	anticuerpos antimitocondriales	ENTIDAD-OBSERVABLE	anticuerpos antimitocondriales
aspartatotransaminasa (proteinas)	aspartatotransaminasa	PROTEINAS	aspartatotransaminasa
urocultivos	urocultivos	PROCEDIMIENTO	urocultivos
albumina (farmaco)	albumina	FARMACO	albumina
linfoadenopatia (enfermedad)	linfoadenopatia	ENFERMEDAD	linfoadenopatia
hospital universitario de amiens	hospital universitario de amiens	HOSPITAL	hospital universitario de amiens
deterioro hemodinamico	deterioro hemodinamico	SINTOMA	deterioro hemodinamico
crepitantes bilaterales en ambos pulmones	crepitantes bilaterales en ambos pulmones	SINTOMA	crepitantes bilaterales en ambos pulmones
proteina amiloide A	proteina amiloide A	PROTEINAS	proteina amiloide A
14 de abril	14 de abril	FECHAS	14 de abril
miocarditis	miocarditis	ENFERMEDAD	miocarditis
inmunoglobulina humana	inmunoglobulina humana	PROTEINAS	inmunoglobulina humana
manitol	manitol	FARMACO	manitol
interferon gamma (farmaco)	interferon gamma	FARMACO	interferon gamma
