span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
exploracion neurologica	PROCEDIMIENTO	15	7.5	19	exploración neurológico			exploración neurológica	exploración neurológica	32360439-D_ES, 32601756_ES, 32617903B_ES, 32293714_ES, 32639461_ES, 32586958_ES, 32563170_ES, 32417987_ES, 32651243_ES, 32246917_ES, 32359804_ES, 32653906_ES, 32198834_ES, 32364123_ES, 32418288_ES
frotis faringeo	PROCEDIMIENTO	11	5.5	18	frotis faríngeo			frotis faríngeo	frotis faríngeo	32247016_ES, 32292053_ES, 32238024_ES, 32085846_ES, 32201125_ES, 32215898_ES, 32428291_ES, 32609542_ES, 32399694­­_ES, 32278585_ES, 32161941_ES
TAC craneal	PROCEDIMIENTO	16	8.0	18	TAC craneal			TAC craneal	TAC craneal	32283294_ES, 32586676_ES, 32360439-D_ES, 32360439_ES, 32293714_ES, 32605766_ES, 32360439-B_ES, 32586752_ES, 32417987_ES, 32583150A_ES, 32637266A_ES, 32294340_ES, 32617903A_ES, 32426200_ES, 32360439-C_ES, 32418288_ES
hemograma	PROCEDIMIENTO	16	8.0	17	hemograma	43789009	C0200631	hemograma	hemograma	32631646_ES, 32589314_ES, 32586958_ES, 32352487_ES, 32222713_ES, 32318729_ES, 32425356_ES, 32359711_ES, 32653906_ES, 32606105_ES, 32611659_ES, 32609542_ES, 32607304_Es, 32292054_ES, 32637086B_ES, 32423911_ES
puncion lumbar	PROCEDIMIENTO	13	6.5	14	punción lumbar			punción lumbar	punción lumbar	32283294_ES, 32601756_ES, 32594151_ES, 32293714_ES, 32593478_ES, 32639461_ES, 32605766_ES, 32586958_ES, 32586752_ES, 32318729_ES, 32399950_ES, 32292054_ES, 32418288_ES
gasometria arterial	PROCEDIMIENTO	11	5.5	14	gasometría arterial			gasometría arterial	gasometría arterial	32283294_ES, 32277408_ES, 32412848_ES, 32276139_B_ES, 32292053_ES, 32427774_ES, 32637086A_ES, 32399451_ES, 32607304_Es, 32275347_ES, 32363336-B_ES
frotis faringeos	PROCEDIMIENTO	10	5.0	14	frotis faríngeo			frotis faríngeos	frotis faríngeos	32283294_ES, 32293714_ES, 32292053_ES, 32208010_ES, 32238024_ES, 32119083_ES, 32266524_ES, 32292904_ES, 32179908_ES, 32161941_ES
prueba de sarscov2	PROCEDIMIENTO	12	6.0	13	prueba de sarscov2			prueba de SARS-CoV-2	prueba de sarscov2	32283294_ES, 32594151_ES, 32612465D_ES, 32208010_ES, 32633439_ES, 32614251_ES, 32318729_ES, 32622823_ES, 32612465B_ES, 32612465C_ES, 32639064_ES, 32427161_ES
intubado	PROCEDIMIENTO	13	6.5	13	intubar	262007003	C0445105	intubado	intubado	32554811_ES, 32617903B_ES, 32612465D_ES, 32637327A_ES, 32639461_ES, 32594429_ES, 32612465B_ES, 32617223_ES, 32619798_ES, 32612465C_ES, 32198834_ES, 32590725_ES, 32222713_ES
ventilacion no invasiva	PROCEDIMIENTO	11	5.5	12	ventilación no invasivo			ventilación no invasiva	ventilación no invasiva	32616174_ES, 32589931_ES, 32594429_ES, 32615155_ES, 32651243_ES, 32417987_ES, 32638347A_ES, 32612465A_ES, 32622819A_ES, 32245909_ES, 32602267_ES
terapia antivirica	PROCEDIMIENTO	11	5.5	11	terapia antivírico			terapia antivírica	terapia antivírica	32602610_ES, 32293714_ES, 32417987_ES, 32607564_ES, 32247642_ES, 32584431_ES, 32174057_ES, 32085846_ES, 32276139_C_ES, 32292904_ES, 32418288_ES
hemodialisis	PROCEDIMIENTO	5	2.5	11	hemodiálisis			hemodiálisis	hemodiálisis	32292867_ES, 32412848_ES, 32637266B_ES, 32292904_ES, 32222713_ES
radiografias toracicas	PROCEDIMIENTO	7	3.5	10	radiografía torácico			radiografías torácicas	radiografías torácicas	32644205_ES, 32586958_ES, 32250095_ES, 32179908_ES, 32399450_ES, 32638890_ES, 32222713_ES
oxigenoterapia mediante canula nasal	PROCEDIMIENTO	9	4.5	10	oxigenoterapia mediante cánula nasal			oxigenoterapia mediante cánula nasal	oxigenoterapia mediante cánula nasal	32363336_ES, 32412848_ES, 32292053_ES, 32427774_ES, 32427774-B_ES, 32292904_ES, 32363336-B_ES, 32292054_ES, 32207255_ES
cesarea	PROCEDIMIENTO	7	3.5	10	cesárea			cesárea	cesárea	32363336_ES, 32363217_ES, 32594429_ES, 32119083_ES, 32637327B_ES, 32363336-B_ES, 32161941_ES
tratamiento antibiotico	PROCEDIMIENTO	9	4.5	9	tratamiento antibiótico			tratamiento antibiótico	tratamiento antibiótico	32594151_ES, 32640066_ES, 32292867_ES, 32292053_ES, 32619736_ES, 32196627_ES, 32073161_ES, 32607304_Es, 32222713_ES
lavado broncoalveolar	PROCEDIMIENTO	8	4.0	9	lavado broncoalveolar	397394009, 782971002	C1535502, C1535502	lavado broncoalveolar	lavado broncoalveolar	32554811_ES, 32622819B_ES, 32277408_ES, 32619736_ES, 32607564_ES, 32414534_ES, 32622819A_ES, 32399451_ES
TAC pulmonar	PROCEDIMIENTO	8	4.0	9	TAC pulmonar			TAC pulmonar	TAC pulmonar	32276139_B_ES, 32617169_ES, 32428291_ES, 32073161_ES, 32399950_ES, 32276139_ES, 32587121_ES, 32276139_C_ES
prueba de rtpcr	PROCEDIMIENTO	8	4.0	8	prueba de rtpcr			prueba de RT-PCR	prueba de rtpcr	32329981_ES, 32635747_ES, 32359804_ES, 32352486_ES, 32641443_ES, 32620682_ES, 32317275_ES, 32292915_ES
gasometria	PROCEDIMIENTO	8	4.0	8	gasometría			gasometría	gasometría	32168162_ES, 32612435_ES, 32363217_ES, 32351657_ES, 32399950_ES, 32399451_ES, 32622819A_ES, 32161941_ES
electroencefalograma	PROCEDIMIENTO	8	4.0	8	electroencefalograma	54550000	C0013819	electroencefalograma	electroencefalograma	32586676_ES, 32586752_ES, 32417987_ES, 32651243_ES, 32414534_ES, 32583150B_ES, 32589794_ES, 32418288_ES
ecografia pulmonar	PROCEDIMIENTO	4	2.0	8	ecografía pulmonar			ecografía pulmonar	ecografía pulmonar	32399449_ES, 32423911_ES, 32399449-B_ES, 32196627_ES
RMN cerebral	PROCEDIMIENTO	8	4.0	8	RMN cerebral			RMN cerebral	RMN cerebral	32639461_ES, 32612435_ES, 32586752_ES, 32414534_ES, 32617903A_ES, 32554425_ES, 32589794_ES, 32590204_ES
pulsioximetria	PROCEDIMIENTO	4	2.0	7	pulsioximetría			pulsioximetría	pulsioximetría	32205138_ES, 32586958_ES, 32293714_ES, 32637327A_ES
pruebas serologicas	PROCEDIMIENTO	5	2.5	7	prueba serológico			pruebas serológicas	pruebas serológicas	32640066_ES, 32415334_ES, 32352487_ES, 32556106_ES, 32427161_ES
prueba de covid19	PROCEDIMIENTO	7	3.5	7	prueba de covid19			prueba de COVID-19	prueba de covid19	32605766_ES, 32592761_ES, 32427774_ES, 32427774-B_ES, 32606105_ES, 32294273_ES, 32222713_ES
ecocardiograma transtoracico	PROCEDIMIENTO	7	3.5	7	ecocardiograma transtorácico			ecocardiograma transtorácico	ecocardiograma transtorácico	32622819B_ES, 32593338_ES, 32267502_ES, 32320556_ES, 32586778_ES, 32363351_ES, 32607304_Es
drenaje toracico	PROCEDIMIENTO	5	2.5	7	drenaje torácico			drenaje torácico	drenaje torácico	32320556_ES, 32612465B_ES, 32423911_ES, 32602267_ES, 32317275_ES
dialisis	PROCEDIMIENTO	3	1.5	7	diálisis			diálisis	diálisis	32292867_ES, 32292904_ES, 32222713_ES
analisis de orina	PROCEDIMIENTO	6	3.0	7	análisis de orina			análisis de orina	análisis de orina	32360439_ES, 32360439-B_ES, 32292867_ES, 32318729_ES, 32417987_ES, 32587121_ES
TAC toracicas	PROCEDIMIENTO	5	2.5	7	TAC torácico			TAC torácicas	TAC torácicas	32168162_ES, 32208010_ES, 32165205_ES, 32292904_ES, 32278585_ES
RMN cardiaca	PROCEDIMIENTO	6	3.0	7	RMN cardíaco			RMN cardíaca	RMN cardíaca	32616174_ES, 32622819B_ES, 32427645_ES, 32635747_ES, 32650881_ES, 32556106_ES
ventilacion mecanica positiva continua	PROCEDIMIENTO	6	3.0	6	ventilación mecánica positivo continuo			ventilación mecánica positiva continua	ventilación mecánica positiva continua	32292053_ES, 32363217_ES, 32557532_ES, 32267502_ES, 32427161_ES, 32607304_Es
urocultivos	PROCEDIMIENTO	6	3.0	6	urocultivos	117010004	C0430404	urocultivos	urocultivos	32360439_ES, 32360439-B_ES, 32292867_ES, 32318729_ES, 32417987_ES, 32637437­_ES
traqueostomia	PROCEDIMIENTO	4	2.0	6	traqueostomía			traqueostomía	traqueostomía	32399694­­_ES, 32620682_ES, 32426200_ES, 32583150B_ES
intubacion endotraqueal	PROCEDIMIENTO	6	3.0	6	intubación endotraqueal			intubación endotraqueal	intubación endotraqueal	32360384_ES, 32607564_ES, 32586778_ES, 32399694­­_ES, 32589794_ES, 32292915_ES
esteroides	PROCEDIMIENTO	3	1.5	6	esteroide	112113009, 116566001	C0038317, C0038317, C0301818	esteroides	esteroides	32602267_ES, 32276139_B_ES, 32198834_ES
ecografia abdominal	PROCEDIMIENTO	5	2.5	6	ecografía abdominal			ecografía abdominal	ecografía abdominal	32594151_ES, 32640066_ES, 32653210_ES, 32636116_ES, 32427161_ES
ecocardiografia	PROCEDIMIENTO	6	3.0	6	ecocardiografía			ecocardiografía	ecocardiografía	32399449_ES, 3229222_ES, 32282027_ES, 32275347_ES, 32615807B_ES, 32265235_ES
angiografia coronaria	PROCEDIMIENTO	5	2.5	6	angiografía coronario			angiografía coronaria	angiografía coronaria	32329981_ES, 32650881_ES, 32363351_ES, 32607304_Es, 32275347_ES
EEG	PROCEDIMIENTO	4	2.0	6	EEG			EEG	EEG	32563170_ES, 32589794_ES, 32418288_ES, 32583150B_ES
respiracion asistida	PROCEDIMIENTO	5	2.5	5	respiración asistir			respiración asistida	respiración asistida	32412848_ES, 32363217_ES, 32615155_ES, 32426200_ES, 32292915_ES
parto vaginal	PROCEDIMIENTO	4	2.0	5	parto vaginal			parto vaginal	parto vaginal	32606105_ES, 32614251_ES, 32363336-B_ES, 32590725_ES
exploracion clinica	PROCEDIMIENTO	5	2.5	5	exploración clínico			exploración clínica	exploración clínica	32640066_ES, 32637086A_ES, 32648092A_ES, 32399451_ES, 32648092C_ES
ecografia	PROCEDIMIENTO	5	2.5	5	ecografía			ecografía	ecografía	32427645_ES, 32589931_ES, 32590725_ES, 32585767_ES, 32618794_ES
biopsia	PROCEDIMIENTO	5	2.5	5	biopsia	129314006, 86273004	C0005558, C0005558	biopsia	biopsia	32294264_ES, 32425356_ES, 32402416­_ES, 32620682_ES, 32222713_ES
aspirado traqueal	PROCEDIMIENTO	5	2.5	5	aspirar traqueal			aspirado traqueal	aspirado traqueal	32412848_ES, 32619736_ES, 32607564_ES, 32623310_ES, 32589794_ES
angiografia	PROCEDIMIENTO	5	2.5	5	angiografía			angiografía	angiografía	32360439-B_ES, 32651243_ES, 32353183_ES, 32648092C_ES, 32648092B_ES
ventilacion mecanica invasiva	PROCEDIMIENTO	4	2.0	4	ventilación mecánico invasivo			ventilación mecánica invasiva	ventilación mecánica invasiva	32638890_ES, 32587121_ES, 32622819A_ES, 32586778_ES
radiografia de torax	PROCEDIMIENTO	4	2.0	4	radiografía de tórax			radiografía de tórax	radiografía de tórax	32364123_ES, 32653210_ES, 3229222_ES, 32631646_ES
pruebas funcionales hepaticas	PROCEDIMIENTO	4	2.0	4	prueba funcional hepático			pruebas funcionales hepáticas	pruebas funcionales hepáticas	32292053_ES, 32623310_ES, 32637086B_ES, 32222713_ES
prueba de gripe	PROCEDIMIENTO	4	2.0	4	prueba de gripe			prueba de gripe	prueba de gripe	32612465B_ES, 32612465A_ES, 32612465D_ES, 32612465C_ES
oxigeno	PROCEDIMIENTO	4	2.0	4	oxígeno			oxígeno	oxígeno	32415334_ES, 32427645_ES, 32588475_ES, 32637327A_ES
fisioterapia	PROCEDIMIENTO	4	2.0	4	fisioterapia	722138006, 91251008	C0699718, C0949766	fisioterapia	fisioterapia	32653906_ES, 32617903B_ES, 32617903A_ES, 32426200_ES
auscultacion pulmonar	PROCEDIMIENTO	4	2.0	4	auscultación pulmonar			auscultación pulmonar	auscultación pulmonar	32119083_ES, 32247016_ES, 32359804_ES, 32246917_ES
anticoagulante	PROCEDIMIENTO	4	2.0	4	anticoagulante	372862008	C0003280	anticoagulante	anticoagulante	32648092A_ES, 32402687_ES, 32363351_ES, 32402687-B_ES
antibioticos iv	PROCEDIMIENTO	3	1.5	4	antibiótico iv			antibióticos i.v	antibióticos iv	32617903B_ES, 32617903A_ES, 32594429_ES
angiografia por TAC	PROCEDIMIENTO	4	2.0	4	angiografía por TAC			angiografía por TAC	angiografía por TAC	32562891_ES, 32639089_ES, 32648092A_ES, 32353183-B_ES
TAC toracica sin contraste	PROCEDIMIENTO	4	2.0	4	TAC torácico sin contraste			TAC torácica sin contraste	TAC torácica sin contraste	32606044_ES, 32351657_ES, 32278585_ES, 32554425_ES
ventilacion mecanica no invasiva	PROCEDIMIENTO	3	1.5	3	ventilación mecánico no invasivo			ventilación mecánica no invasiva	ventilación mecánica no invasiva	32363336_ES, 32360384_ES, 32207255_ES
trombolisis	PROCEDIMIENTO	3	1.5	3	trombólisis			trombólisis	trombólisis	32360439-D_ES, 32360439-B_ES, 32351657_ES
telemetria	PROCEDIMIENTO	3	1.5	3	telemetría			telemetría	telemetría	32360439-D_ES, 32360439_ES, 32363336-B_ES
rtpcr de frotis nasofaringeo	PROCEDIMIENTO	2	1.0	3	rtpcr de frotis nasofaríngeo			RT-PCR de frotis nasofaríngeo	rtpcr de frotis nasofaríngeo	32602267_ES, 32619798_ES
radiografia toracica anteroposterior	PROCEDIMIENTO	2	1.0	3	radiografía torácico anteroposterior			radiografía torácica anteroposterior	radiografía torácica anteroposterior	32612435_ES, 32611659_ES
quimioterapia	PROCEDIMIENTO	2	1.0	3	quimioterapia	367336001, 182831000	C0013216, C3665472	quimioterapia	quimioterapia	32622819A_ES, 32637327A_ES
qrtpcr para sarscov2	PROCEDIMIENTO	1	0.5	3	qrtpcr para sarscov2			qRT-PCR para SARS-CoV-2	qrtpcr para sarscov2	32292053_ES
prueba de sarscov2 mediante rtpcr	PROCEDIMIENTO	3	1.5	3	prueba de sarscov2 mediante rtpcr			prueba de SARS-CoV-2 mediante RT-PCR	prueba de sarscov2 mediante rtpcr	32614251_ES, 32638347C_ES, 32637327A_ES
plasmaferesis	PROCEDIMIENTO	2	1.0	3	plasmaféresis			plasmaféresis	plasmaféresis	32586958_ES, 32399694­­_ES
parto por cesarea	PROCEDIMIENTO	3	1.5	3	partir por cesárea			parto por cesárea	parto por cesárea	32292867_ES, 32292054_ES, 32590725_ES
oxigenoterapia con canula nasal	PROCEDIMIENTO	3	1.5	3	oxigenoterapia con cánula nasal			oxigenoterapia con cánula nasal	oxigenoterapia con cánula nasal	32609542_ES, 32612465A_ES, 32602267_ES
laparotomia	PROCEDIMIENTO	3	1.5	3	laparotomía			laparotomía	laparotomía	32351657_ES, 32424482_ES, 32353183-B_ES
intubacion orotraqueal	PROCEDIMIENTO	3	1.5	3	intubación orotraqueal			intubación orotraqueal	intubación orotraqueal	32638890_ES, 32275347_ES, 32623310_ES
intubacion	PROCEDIMIENTO	3	1.5	3	intubación			intubación	intubación	32554811_ES, 32423738_ES, 32320556_ES
hidratacion iv	PROCEDIMIENTO	3	1.5	3	hidratación iv			hidratación i.v	hidratación iv	32363336_ES, 32606105_ES, 32426200_ES
frotis orofaringeo	PROCEDIMIENTO	3	1.5	3	frotis orofaríngeo			frotis orofaríngeo	frotis orofaríngeo	32294340_ES, 32606044_ES, 32359804_ES
frotis nasofaringeos y orofaringeos	PROCEDIMIENTO	3	1.5	3	frotis nasofaríngeo y orofaríngeo			frotis nasofaríngeos y orofaríngeos	frotis nasofaríngeos y orofaríngeos	32399450_ES, 32267502_ES, 32198834_ES
frotis nasofaringeo y orofaringeo	PROCEDIMIENTO	2	1.0	3	frotis nasofaríngeo y orofaríngeo			frotis nasofaríngeo y orofaríngeo	frotis nasofaríngeo y orofaríngeo	32606044_ES, 32590204_ES
frotis nasal	PROCEDIMIENTO	3	1.5	3	frotis nasal			frotis nasal	frotis nasal	32360384_ES, 32651243_ES, 32631838_ES
evaluacion neurologica	PROCEDIMIENTO	3	1.5	3	evaluación neurológico			evaluación neurológica	evaluación neurológica	32283294_ES, 32426200_ES, 32612435_ES
electromiograma	PROCEDIMIENTO	2	1.0	3	electromiograma	42803009, 72330000	C0013839, C0013839	electromiograma	electromiograma	32359804_ES, 32619798_ES
ecografia toracica	PROCEDIMIENTO	2	1.0	3	ecografía torácico			ecografía torácica	ecografía torácica	32602267_ES, 32557532_ES
ecografia doppler	PROCEDIMIENTO	2	1.0	3	ecografía doppler			ecografía doppler	ecografía doppler	32637327A_ES, 32631646_ES
